epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.9878,0,23.8561,0,0,0,0,0,0,0,0,0.00332545,0.00332545,0.00332545
2,170.716,0,0,0,0,0,0,0,0,0,0,0.00659286,0.00659286,0.00659286
3,247.249,0,0,0,0,0,0,0,0,0,0,0.00979428,0.00979428,0.00979428
4,324.24,0,0,0,0,0,0,0,0,0,0,0.009703,0.009703,0.009703
5,529.983,0,0,0,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
6,605.991,0,0,0,0,0,0,0,0,0,0,0.009505,0.009505,0.009505
7,682.258,0,0,0,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
8,759.732,0,0,0,0,0,0,0,0,0,0,0.009307,0.009307,0.009307
9,836.974,0,0,0,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
10,913.511,0,0,0,0,0,0,0,0,0,0,0.009109,0.009109,0.009109
11,991.087,0,0,0,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
12,1068.48,0,0,0,0,0,0,0,0,0,0,0.008911,0.008911,0.008911
